OTU	Size	Taxonomy
Otu0029	1251	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Tremellales(100);f__Bulleribasidiaceae(100);g__Vishniacozyma(100);s__Vishniacozyma_victoriae(59);Vishniacozyma_victoriae(59);
Otu0030	1243	k__Fungi(100);p__Ascomycota(100);c__Lecanoromycetes(100);o__Lecanorales(100);f__Parmeliaceae(100);g__Parmelia(100);s__Parmelia_sulcata(98);Parmelia_sulcata(98);
Otu0031	1206	k__Fungi(100);p__Ascomycota(99);p__Ascomycota_unclassified(91);p__Ascomycota_unclassified(91);p__Ascomycota_unclassified(91);p__Ascomycota_unclassified(91);p__Ascomycota_unclassified(91);p__Ascomycota_unclassified(91);
Otu0032	1205	k__Fungi(100);p__Ascomycota(100);c__Leotiomycetes(100);o__Thelebolales(100);f__Pseudeurotiaceae(100);g__Pseudogymnoascus(99);s__Pseudogymnoascus_appendiculatus(64);Pseudogymnoascus_appendiculatus(64);
Otu0033	1156	k__Fungi(100);p__Ascomycota(100);c__Leotiomycetes(78);o__Thelebolales(78);f__Pseudeurotiaceae(78);g__Pseudogymnoascus(78);g__Pseudogymnoascus_unclassified(66);g__Pseudogymnoascus_unclassified(66);
Otu0034	1114	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Tremellales(100);f__Bulleraceae(100);g__Genolevuria(100);s__Genolevuria_sp(100);Genolevuria(100);
Otu0035	1090	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Myriangiales(100);f__Myriangiales_fam_Incertae_sedis(100);g__Endosporium(100);s__Endosporium_sp(100);Endosporium(100);
Otu0036	1076	k__Fungi(100);p__Ascomycota(100);c__Leotiomycetes(100);o__Helotiales(100);o__Helotiales_unclassified(100);o__Helotiales_unclassified(100);o__Helotiales_unclassified(100);o__Helotiales_unclassified(100);
Otu0037	1051	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Myriangiales(100);f__Myriangiales_fam_Incertae_sedis(100);g__Endosporium(100);s__Endosporium_sp(100);Endosporium(100);
Otu0038	1000	k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Chaetothyriales(100);o__Chaetothyriales_unclassified(100);o__Chaetothyriales_unclassified(100);o__Chaetothyriales_unclassified(100);o__Chaetothyriales_unclassified(100);
Otu0039	944	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Dothideales(100);f__Dothideaceae(70);g__Endoconidioma(68);s__Endoconidioma_populi(68);Endoconidioma_populi(68);
