OTU	Size	Taxonomy
Otu0041	1237	Bacteria(100);Myxococcota(100);Myxococcia(100);Myxococcales(100);Myxococcaceae(100);P3OB-42(100);
Otu0042	1224	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Caulobacterales(94);Caulobacteraceae(94);Phenylobacterium(94);
Otu0043	1175	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Beijerinckiaceae(100);Methylobacterium-Methylorubrum(100);
Otu0044	1092	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Acetobacterales(98);Acetobacteraceae(98);Acetobacteraceae_unclassified(98);
Otu0045	1082	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Rhizobiaceae(100);Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium(53);
Otu0046	1047	Bacteria(100);Bacteroidota(100);Bacteroidia(100);Sphingobacteriales(100);Sphingobacteriaceae(100);Pedobacter(100);
Otu0047	952	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Moraxellaceae(100);Acinetobacter(100);
Otu0048	937	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rickettsiales(100);Anaplasmataceae(100);Wolbachia(100);
Otu0049	933	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Burkholderiales(100);Oxalobacteraceae(99);Herbaspirillum(91);
Otu0050	871	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillales_unclassified(100);Lactobacillales_unclassified(100);
Otu0051	866	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Sphingomonadales(100);Sphingomonadaceae(100);Sphingomonadaceae_unclassified(100);
Otu0052	790	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rickettsiales(98);Anaplasmataceae(98);Anaplasmataceae_unclassified(98);
Otu0053	788	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Alphaproteobacteria_unclassified(97);Alphaproteobacteria_unclassified(97);Alphaproteobacteria_unclassified(97);
Otu0054	757	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacterales(79);Enterobacterales_unclassified(79);Enterobacterales_unclassified(79);
Otu0055	741	Bacteria(100);Bacteroidota(100);Bacteroidia(100);Sphingobacteriales(100);Sphingobacteriaceae(100);Sphingobacteriaceae_unclassified(97);
Otu0056	740	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Burkholderiales(100);Burkholderiaceae(100);Burkholderia-Caballeronia-Paraburkholderia(98);
Otu0057	689	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Beijerinckiaceae(100);Methylobacterium-Methylorubrum(100);
Otu0058	688	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Beijerinckiaceae(96);Beijerinckiaceae_unclassified(96);
Otu0059	678	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Xanthomonadales(100);Rhodanobacteraceae(98);Rhodanobacteraceae_unclassified(80);
Otu0060	673	Bacteria(100);Proteobacteria(97);Gammaproteobacteria(62);Gammaproteobacteria_unclassified(62);Gammaproteobacteria_unclassified(62);Gammaproteobacteria_unclassified(62);
Otu0061	608	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);
Otu0062	578	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Acetobacterales(100);Acetobacteraceae(100);Acetobacteraceae_unclassified(100);
Otu0063	561	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Acetobacterales(100);Acetobacteraceae(100);Acetobacteraceae_unclassified(94);
Otu0064	554	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Caulobacterales(100);Caulobacteraceae(100);Brevundimonas(100);
Otu0065	551	Bacteria(100);Bacteroidota(100);Bacteroidia(100);Cytophagales(100);Hymenobacteraceae(100);Hymenobacter(100);
Otu0066	548	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0067	513	Bacteria(100);Bacteroidota(100);Bacteroidia(100);Sphingobacteriales(100);Sphingobacteriaceae(100);Sphingobacteriaceae_unclassified(95);
Otu0068	512	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Sphingomonadales(100);Sphingomonadaceae(100);Sphingomonas(100);
Otu0069	507	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Rhizobiaceae(100);Rhizobiaceae_unclassified(100);
Otu0070	505	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rickettsiales(100);Rickettsiaceae(100);Rickettsia(100);
Otu0071	498	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacterales(100);Enterobacterales_unclassified(97);Enterobacterales_unclassified(97);
Otu0072	485	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(73);Pseudomonadaceae(73);Pseudomonas(73);
Otu0073	484	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Alphaproteobacteria_unclassified(55);Alphaproteobacteria_unclassified(55);Alphaproteobacteria_unclassified(55);
Otu0074	479	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Acetobacterales(100);Acetobacteraceae(100);Acetobacter(99);
Otu0075	464	Bacteria(100);Firmicutes(100);Firmicutes_unclassified(67);Firmicutes_unclassified(67);Firmicutes_unclassified(67);Firmicutes_unclassified(67);
Otu0076	463	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Rhizobiales_unclassified(51);Rhizobiales_unclassified(51);
Otu0077	447	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Burkholderiales(100);Comamonadaceae(100);Comamonadaceae_unclassified(96);
Otu0078	428	Bacteria(100);Bacteroidota(100);Bacteroidia(100);Cytophagales(100);Cytophagales_unclassified(100);Cytophagales_unclassified(100);
